class_1_f1,class_1_precision,class_1_recall,class_2_f1,class_2_precision,class_2_recall,class_3_f1,class_3_precision,class_3_recall,class_4_f1,class_4_precision,class_4_recall,epoch,epoch_confusion,mean_precision,mean_recall,train_loss,val_loss
0.41821064475538955,0.43433632865451044,0.4522825659189295,0.3266009125673248,0.3188781502734991,0.42211819188563376,0.2639055687442784,0.2644009216589862,0.3170250896057348,0.3975611604614651,0.34131247540338444,0.5096921596921596,24,[[  0. 124. 216. 124. 224.]
 [ 88. 169.  43.   1.   0.]
 [139.  12. 138.  39.   0.]
 [ 44.   0.  38.  67.  25.]
 [ 94.   0.   0.  27. 177.]],0.3420478702844774,0.4501761073747681,0.9407206447795033,1.6856677383184433
0.40849618481187383,0.4254088780208183,0.45667334324050746,0.34650541500022464,0.3344444444444444,0.4390221543162719,0.2059910750921987,0.19094881398252184,0.2698501872659176,0.36516373894941984,0.29769636961462215,0.5040616246498599,25,[[  0. 152. 169. 102. 261.]
 [ 97. 177.  27.   0.   0.]
 [154.  20. 131.  23.   0.]
 [ 43.   0.  44.  58.  29.]
 [ 74.   0.   0.  29. 195.]],0.31339508875617067,0.44808278898680687,0.9163172378515204,1.7103254534304142
0.42551186468359176,0.4161548309265605,0.48099276345545,0.3082383963249793,0.3517924023542001,0.3448210029670704,0.19747592832699215,0.1959219858156028,0.2531914893617021,0.39647883611559187,0.32948062739729406,0.5301477072310405,26,[[  0. 147. 153. 146. 244.]
 [ 98. 185.  17.   1.   0.]
 [160.  27. 107.  34.   0.]
 [ 37.   0.  33.  57.  47.]
 [ 79.   0.   0.  20. 199.]],0.3238826361692696,0.4236801207225315,0.9075834850470225,1.6974759234913759
0.40651873814799866,0.38222697419678847,0.5112515112515112,0.30818151576665515,0.3464769647696477,0.35344296624784427,0.322483975972348,0.34208194905869327,0.36802325581395345,0.4113274949625737,0.35110630110630114,0.5210547504025764,27,[[  0. 226. 121.  84. 182.]
 [ 79. 209.  13.   0.   0.]
 [151.  48. 103.  26.   0.]
 [ 40.   0.  42.  68.  24.]
 [ 65.   0.   0.  28. 205.]],0.3772814022055577,0.4816387460918711,0.9037801095594963,1.6640313108052527
0.35147086426064056,0.3251512590150361,0.4647681577681577,0.248860737985225,0.3022425249169435,0.26561629584885404,0.2995021704699124,0.28576199785877204,0.3763440860215054,0.4201430478133264,0.3552841098295644,0.5470719095719097,28,[[  0. 257. 141. 141. 202.]
 [ 83. 207.   9.   2.   0.]
 [155.  54.  72.  47.   0.]
 [ 49.   0.  23.  77.  25.]
 [ 65.   0.   0.  30. 203.]],0.32307575817369955,0.43636326058201064,0.8669237000867724,1.768114376280989
0.3877400298177185,0.404794832033638,0.4309976093558183,0.310849727922776,0.2863514762391167,0.4211501045770709,0.2423724825898739,0.22805383022774328,0.29891304347826086,0.39200974809936623,0.3233224897997625,0.5367243867243867,29,[[  0. 174. 246. 106. 243.]
 [114. 149.  38.   0.   0.]
 [153.  18. 134.  23.   0.]
 [ 36.   0.  45.  64.  29.]
 [ 74.   0.   0.  28. 196.]],0.31026830725491444,0.4495976720865113,0.8666685825834671,1.8446970491537027
0.3836639906795652,0.3991037982545853,0.44119159400849545,0.3397519781256806,0.3408895679483915,0.4134339190221543,0.24430346154484087,0.2578817733990148,0.27662835249042145,0.42333077332389446,0.36965534465534466,0.5248657796451913,30,[[  0. 146. 180.  82. 200.]
 [ 98. 187.  16.   0.   0.]
 [150.  32. 127.  19.   0.]
 [ 49.   0.  44.  52.  29.]
 [ 86.   0.   0.  24. 188.]],0.3478255789738195,0.43755384413866555,0.8640232908849915,1.7292633498353618
0.3978636161447488,0.40993001746153,0.4549196042053185,0.36502420287430287,0.35172582047582046,0.44814600082457234,0.2948731983214742,0.31226053639846746,0.33065134099616855,0.40183296210659164,0.3463015334338864,0.509138655462185,31,[[  0. 166. 182.  95. 207.]
 [ 91. 187.  23.   0.   0.]
 [145.  24. 130.  29.   0.]
 [ 42.   0.  43.  56.  33.]
 [ 89.   0.   0.  23. 186.]],0.3690505572858514,0.47180711773345696,0.8517159859960278,1.7739895544946194
0.3900113195123802,0.40840520981366046,0.4467075178342784,0.2943749692078569,0.3176046176046176,0.33051661091433815,0.2327816391646179,0.22847855454238433,0.30017730496453904,0.39510072704163024,0.34089541993953754,0.49327731092436966,32,[[  0. 154. 148. 126. 187.]
