class_1_f1,class_1_precision,class_1_recall,class_2_f1,class_2_precision,class_2_recall,class_3_f1,class_3_precision,class_3_recall,class_4_f1,class_4_precision,class_4_recall,epoch,epoch_confusion,mean_precision,mean_recall,train_loss,val_loss
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,[[ 0.  0.  0.  0.  0.]
 [ 27.   2.  13.  23.  16.]
 [ 15.   0.   3.   3.  38.]],0.2674404761904762,0.3925,0.4465035883465199,0.8569481253623963
0.2733333333333333,0.24666666666666665,0.33,0.31799999999999995,0.2833333333333333,0.4,0.37538095238095237,0.321,0.53,0.3175,0.30976190476190474,0.34,20,[[ 0. 41. 52. 97. 25.]
 [17. 29.  4.  1.  0.]
 [36.  5. 20. 17.  1.]
 [24.  2. 19. 35.  1.]
 [18.  0.  3.  9. 29.]],0.29019047619047617,0.4,0.4123103678075954,0.8908020624518395
0.2733333333333333,0.26,0.3,0.395,0.3603333333333334,0.48,0.39,0.3658333333333333,0.46,0.3453333333333333,0.3297777777777777,0.39,21,[[ 0. 29. 38. 54. 44.]
 [17. 19. 14.  1.  0.]
 [32.  6. 26. 14.  1.]
 [23.  3. 23. 24.  8.]
 [17.  0.  3.  4. 35.]],0.3289861111111111,0.4075,0.37602706945905784,0.9083869791030884
0.2816666666666666,0.2683333333333333,0.31,0.3746666666666667,0.3266666666666667,0.49,0.38,0.365,0.41,0.364,0.35416666666666663,0.39,22,[[ 0. 24. 44. 34. 15.]
 [17. 23.  9.  2.  0.]
 [31.  7. 28. 11.  2.]
 [29.  2. 27. 18.  5.]
 [17.  0.  3.  2. 37.]],0.32854166666666673,0.4,0.3540990031277291,0.9104938195645809
0.28,0.26,0.32,0.34,0.32166666666666666,0.38,0.41733333333333333,0.3808333333333333,0.5,0.36666666666666664,0.3566666666666667,0.39,23,[[ 0. 27. 23. 39. 17.]
 [15. 25.  7.  4.  0.]
 [31.  5. 22. 16.  5.]
 [23.  3. 11. 38.  6.]
 [18.  0.  4.  2. 35.]],0.32979166666666665,0.3975,0.3462812513715089,0.9392390942573547
0.3183333333333333,0.30833333333333335,0.34,0.4099999999999999,0.38166666666666665,0.47,0.4173333333333333,0.39416666666666667,0.47,0.36,0.355,0.37,24,[[ 0. 16. 30. 44. 10.]
 [14. 29.  5.  3.  0.]
 [28.  5. 28. 15.  3.]
 [24.  5. 21. 29.  2.]
